Mandant,Parkareal-ID,Parkfläche,Parkeinheit,B2B Partner ID (Spedition),B2B Partner (Spedition),Zutrittsmedium,Kundengruppe,Unnamed: 0,ParkingAreaID,ParkingName,Address,City,Unnamed: 5,Unnamed: 6,Unnamed: 7,merge_key,Name,Adress,City_koords,CountryCode,Longitude,Latitude,100 kW to 250 kW,24/7,Accomodation,App Parking,B2C Prohibited,Bosch partner network,CCS2,CCTV ,Certified,Charging card,Credit card,Dangerous Goods Allowed,De-Minimis,Decoupling of Trailers,Diesel,Electricity Charging,Electricity Supply for Frigo,Extra Long Truck Allowed,Fence,Flow Parking,Forward entry ,Forward exit ,Frigo allowed,Gate,Guard personal (24 hours) or Control Center,Has Realtime Data,Hydrogen,Internetlink,Less than 100 kW,Licence plate,Lighting,Liquefied Natural Gas,MCS,Mobile Ticket Payment,More than 250 kW,Occupancy information,On the go,Parking Fee,Personal access control,Petrol station,PIN,QR-Code,Reception parking,Reservable,Restaurant/ Shop,Restricted vehicle access,Restroom,Shower,Truck only,Truck repair,Truck wash,Vending Machines,Wifi,Detail Link,TariffGross,TariffNet,Silver,Gold,Provider,PreBooking URL,Raw Feature IDs
Travis Extern ES,2390,"Lavaflix XXI, S.L.","Lavaflix XXI, S.L.",9105.0,selena transport ,BC0288TO,B2B,,2390.0,"Lavaflix XXI, S.L.",De l’Or ,Tarragona,43006,ES,Travis,de l’or tarragona,"Lavaflix XXI, S.L.",De l’Or ,Tarragona,ES,1.23084183,41.14167062,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5186&locale=en,24h: 30.46€    ,24h: 30.46€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2389,"1007, 1101, 1017, 1019, 1012, 1302, 1020, 1006, 1005, 1014, 1003"
Travis Extern FR,2148,Transports Tendron,Transports Tendron,1157.0,Vlantana,MRH892,B2B,,2148.0,Transports Tendron,1 Route National 20,Cercottes,45520,FR,Travis,1 route national 20 cercottes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Extern FR,2532,Transports Cathelineau du Maine,Transports Cathelineau du Maine,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA29247,B2B,,2532.0,Transports Cathelineau du Maine,Rue de l'Arche - Z.A de Champfleury 1,La Bazoge,72650,FR,Travis,rue de l'arche - z.a de champfleury 1 la bazoge,Transports Cathelineau du Maine,Rue de l'Arche - Z.A de Champfleury 1,La Bazoge,FR,0.15937318,48.08536675,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5089&locale=en,24h: 20.75€    48h: 41.50€    72h: 60.50€    ,24h: 20.75€    48h: 41.50€    72h: 60.50€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2531,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2096,Lavage Center Brive,Lavage Center Brive,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA27929,B2B,,2096.0,Lavage Center Brive,Jules Bouchet 3,Brive,19100,FR,Travis,jules bouchet 3 brive,Lavage Center Brive,Jules Bouchet 3,Brive,FR,1.481967,45.160395,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5164&locale=en,24h: 22.00€    48h: 44.00€    72h: 66.00€    ,24h: 22.00€    48h: 44.00€    72h: 66.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2095,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2478,Mecano Service FC (Baume les Dames),Mecano Service FC (Baume les Dames),352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA26345,B2B,,2478.0,Mecano Service FC (Baume les Dames),ZA La Craye - Europolys 2 ,Autechaux,25110,FR,Travis,za la craye - europolys 2 autechaux,Mecano Service FC (Baume les Dames),ZA La Craye - Europolys 2 ,Autechaux,FR,6.37796644,47.39362389,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5192&locale=en,12h: 20.00€    24h: 25.00€    48h: 45.00€    72h: 70.00€    ,12h: 20.00€    24h: 25.00€    48h: 45.00€    72h: 70.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2477,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3402,Duc Lyonnais - (Depot Parking),Duc Lyonnais - (Depot Parking),3451.0,Milton Sp. Z o.o.,DLWVK48,B2B,,3402.0,Duc Lyonnais - (Depot Parking),30 Rue Ampère ,Saint Pierre de Chandieu,69780,FR,Travis,30 rue ampère saint pierre de chandieu,Duc Lyonnais - (Depot Parking),30 Rue Ampère ,Saint Pierre de Chandieu,FR,5.00386578,45.66107361,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5484&locale=en,12h: 19.00€    24h: 21.00€    48h: 40.00€    72h: 60.00€    ,12h: 19.00€    24h: 21.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3401,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2374,Delisle Depot Parking Fagnières,Delisle Depot Parking Fagnières,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA25779,B2B,,2374.0,Delisle Depot Parking Fagnières,Chemin des Ajaux 4,Fagnières,51510,FR,Travis,chemin des ajaux 4 fagnières,Delisle Depot Parking Fagnières,Chemin des Ajaux 4,Fagnières,FR,4.32374685,48.96293381,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5034&locale=en,12h: 17.00€    24h: 20.00€    48h: 40.00€    72h: 60.00€    ,12h: 17.00€    24h: 20.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2373,"1004, 1101, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1301"
Travis Extern FR,7802,Lenoir Transports - (Depot Parking),Lenoir Transports - (Depot Parking),3892.0,"BC LOGISTICS, s.r.o. ",TT258IL,B2B,,7802.0,Lenoir Transports - (Depot Parking),1 Rue Pierre Gilles de Gennes,Bettancourt La Ferrée,52100,FR,Travis,1 rue pierre gilles de gennes bettancourt la ferrée,Lenoir Transports - (Depot Parking),1 Rue Pierre Gilles de Gennes ,Bettancourt La Ferrée,FR,4.94615575,48.64996642,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5692&locale=en,12h: 21.00€    24h: 23.00€    48h: 44.00€    72h: 66.00€    ,12h: 21.00€    24h: 23.00€    48h: 44.00€    72h: 66.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=7801,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3654,XPO Parking Sémecourt - (Depot Parking),XPO Parking Sémecourt - (Depot Parking),2888.0,Bustrans sp. z o.o. ,WGM0905J,B2B,,3654.0,XPO Parking Sémecourt - (Depot Parking),Voie Romaine,Sémecourt,57280,FR,Travis,voie romaine sémecourt,XPO Parking Sémecourt - (Depot Parking),Voie Romaine ,Sémecourt,FR,6.14932742,49.19842392,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5577&locale=en,12h: 22.00€    24h: 24.00€    48h: 44.00€    72h: 65.00€    ,12h: 22.00€    24h: 24.00€    48h: 44.00€    72h: 65.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3653,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3574,Centre Routier Isoparc - TIP Group,Centre Routier Isoparc - TIP Group,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,WGM8640G,B2B,,3574.0,Centre Routier Isoparc - TIP Group,1 Rue Amélia Earhart,Sorigny,37250,FR,Travis,1 rue amélia earhart sorigny,Centre Routier Isoparc - TIP Group,1 Rue Amélia Earhart ,Sorigny,FR,0.67834365,47.25722443,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5541&locale=en,1h: 6.25€    12h: 27.50€    24h: 30.75€    48h: 56.75€    9h: 25.17€    72h: 82.75€    ,1h: 6.25€    12h: 27.50€    24h: 30.75€    48h: 56.75€    9h: 25.17€    72h: 82.75€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3573,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3854,Transports Walzer - (Depot Parking),Transports Walzer - (Depot Parking),10205.0,RAF-CAR TRANSPORT RAFAŁ KAŁĘCKI ,WPR0046P,B2B,,3854.0,Transports Walzer - (Depot Parking),8 Rue de la Clairière,Masevaux-Niederbruck,68290,FR,Travis,8 rue de la clairière masevaux-niederbruck,Transports Walzer - (Depot Parking),8 Rue de la Clairière ,Masevaux-Niederbruck,FR,7.00552396,47.75411802,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5600&locale=en,12h: 24.90€    24h: 26.00€    48h: 48.00€    9h: 18.00€    72h: 54.00€    ,12h: 24.90€    24h: 26.00€    48h: 48.00€    9h: 18.00€    72h: 54.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3853,"1007, 1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3426,Truck Parking Brès - (Depot Parking),Truck Parking Brès - (Depot Parking),352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA28116,B2B,,3426.0,Truck Parking Brès - (Depot Parking),93 Route de Chateauneuf ,Montélimar,26200,FR,Travis,93 route de chateauneuf montélimar,Truck Parking Brès - (Depot Parking),93 Route de Chateauneuf ,Montélimar,FR,4.73912939,44.53413031,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5497&locale=en,12h: 18.50€    24h: 20.00€    48h: 38.50€    72h: 55.00€    ,12h: 18.50€    24h: 20.00€    48h: 38.50€    72h: 55.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3425,"1007, 1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2340,DELTA Park - TIP Trailer Services France SAS,DELTA Park - TIP Trailer Services France SAS,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA26452,B2B,,2340.0,DELTA Park - TIP Trailer Services France SAS,"Zone Delta 3, Rue du Combiné 1",Dourges,62119,FR,Travis,"zone delta 3, rue du combiné 1 dourges",DELTA Park - TIP Trailer Services France SAS,"Zone Delta 3, Rue du Combiné 1",Dourges,FR,2.99671656,50.44239376,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5053&locale=en,12h: 32.35€    24h: 35.75€    48h: 66.95€    9h: 23.85€    72h: 97.95€    ,12h: 32.35€    24h: 35.75€    48h: 66.95€    9h: 23.85€    72h: 97.95€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2339,"1007, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern FR,3302,Perrenot Lemonnier (Depot Parking),Perrenot Lemonnier (Depot Parking),2888.0,Bustrans sp. z o.o. ,FGW18489,B2B,,3302.0,Perrenot Lemonnier (Depot Parking),Rue de l'Ancienne Mare 3,Le Petit-Quevilly,76140,FR,Travis,rue de l'ancienne mare 3 le petit-quevilly,Perrenot Lemonnier (Depot Parking),Rue de l'Ancienne Mare 3,Le Petit-Quevilly,FR,1.0449273,49.42935019,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5426&locale=en,12h: 21.00€    24h: 23.00€    48h: 40.00€    72h: 60.00€    ,12h: 21.00€    24h: 23.00€    48h: 40.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3301,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,3612,Truck Park Betschdorf - (Depot Parking),Truck Park Betschdorf - (Depot Parking),3893.0,TAS Logistyka sp. z o.o. ,WZY44909,B2B,,3612.0,Truck Park Betschdorf,102A Rue des Moulins ,Betschdorf,67660,FR,Travis,102a rue des moulins betschdorf,Truck Park Betschdorf,102A Rue des Moulins ,Betschdorf,FR,7.91964687,48.88760184,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5791&locale=en,12h: 18.00€    24h: 20.00€    48h: 38.00€    9h: 15.00€    72h: 54.00€    ,12h: 18.00€    24h: 20.00€    48h: 38.00€    9h: 15.00€    72h: 54.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=10703,"1101, 1017, 1012, 1005, 1014"
Travis Extern FR,4352,SOFRAPARK Nimes,SOFRAPARK Nimes,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA26345,B2B,,4352.0,SOFRAPARK Nimes,Cr de Dion Bouton - KM Delta Centre Routier,Nîmes,30900,FR,Travis,cr de dion bouton - km delta centre routier nîmes,SOFRAPARK Nimes,Cr de Dion Bouton - KM Delta Centre Routier ,Nîmes,FR,4.34035622,43.8102206,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5622&locale=en,12h: 20.83€    24h: 26.66€    48h: 53.33€    9h: 18.33€    72h: 88.43€    ,12h: 20.83€    24h: 26.66€    48h: 53.33€    9h: 18.33€    72h: 88.43€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=4351,"1007, 1011, 1101, 1017, 1019, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern FR,6202,Silvex Parking - (Depot Parking),Silvex Parking - (Depot Parking),2808.0,UAB Transrapidus Plius ,LTN132,B2B,,6202.0,Silvex Parking - (Depot Parking),L'Épinette,Lavannes,51110,FR,Travis,l'épinette lavannes,Silvex Parking - (Depot Parking),L'Épinette ,Lavannes,FR,4.15039766,49.31761587,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5663&locale=en,12h: 19.00€    24h: 22.00€    48h: 41.00€    72h: 60.00€    ,12h: 19.00€    24h: 22.00€    48h: 41.00€    72h: 60.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=6201,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,5002,Truck Parking Picoty Energies Champniers,Truck Parking Picoty Energies Champniers,3108.0,Bianco Logistic Sp. z o.o. ,WZY44109,B2B,,5002.0,Truck Parking Picoty Energies Champniers,179 rue des Merisiers,Champniers,16430,FR,Travis,179 rue des merisiers champniers,Truck Parking Picoty Energies Champniers,179 rue des Merisiers ,Champniers,FR,0.18640151,45.71383327,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5658&locale=en,12h: 19.00€    24h: 22.00€    48h: 40.00€    72h: 58.00€    ,12h: 19.00€    24h: 22.00€    48h: 40.00€    72h: 58.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=5001,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2536,Quil Vrac,Quil Vrac,352.0,KAWCZYŃSKI LOGISTICS SP. Z O.O.,CNA31931,B2B,,2536.0,Quil Vrac,Allée des chenes 23,Velaine en haye,54840,FR,Travis,allée des chenes 23 velaine en haye,Quil Vrac,Allée des chenes 23,Velaine en haye,FR,6.05277396,48.69995889,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5044&locale=en,24h: 21.00€    48h: 42.00€    72h: 63.00€    ,24h: 21.00€    48h: 42.00€    72h: 63.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2535,"1004, 1007, 1101, 1017, 1012, 1302, 1020, 1013, 1005, 1014"
Travis Extern FR,8506,Dynamic Truck Parking,Dynamic Truck Parking,9601.0,"FUH ""TAS"" MAREK, GRAŻYNA, ANGELIKA FRĄCZKIEWICZ SPÓŁKA JAWNA",WZY07399,B2B,,,,,,,,, ,Testareal,,,,8.666247,49.1964278,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=4707&locale=en,,,no,no,Bosch,,
Travis Extern FR,2356,Mecano Service FC,Mecano Service FC,957.0,Takács Balázs Intertansport Kft.,TAC654WFG460,B2B,,2356.0,Mecano Service FC,Zac De L'Echange 10 - Rue Claude Girard,Chemaudin,25320,FR,Travis,zac de l'echange 10 - rue claude girard chemaudin,Mecano Service FC,Zac De L'Echange 10 - Rue Claude Girard ,Chemaudin,FR,5.889943,47.229318,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5022&locale=en,12h: 20.00€    24h: 25.00€    48h: 45.00€    72h: 70.00€    ,12h: 20.00€    24h: 25.00€    48h: 45.00€    72h: 70.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2355,"1007, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,4752,Chalavan & Duc Montelimar - (Depot Parking),Chalavan & Duc Montelimar - (Depot Parking),2808.0,UAB Transrapidus Plius ,LTN132,B2B,,4752.0,Chalavan & Duc Montelimar - (Depot Parking),"ZA du Meyrol, Chemin des Esprats",Montelimar,26200,FR,Travis,"za du meyrol, chemin des esprats montelimar",Chalavan & Duc Montelimar - (Depot Parking),"ZA du Meyrol, Chemin des Esprats ",Montelimar,FR,4.74571173,44.58144796,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5646&locale=en,12h: 18.50€    24h: 20.00€    48h: 38.50€    72h: 55.00€    ,12h: 18.50€    24h: 20.00€    48h: 38.50€    72h: 55.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=4751,"1101, 1017, 1012, 1302, 1020, 1005, 1014"
Travis Extern FR,2070,H Trucks Park - (Secure Truckstop),H Trucks Park - (Secure Truckstop),2888.0,Bustrans sp. z o.o. ,FG8032P,B2B,,2070.0,H Trucks Park - (Secure Truckstop),Avenue Jean-Jacques Segard 406,Tilloy lez Cambrai,59554,FR,Travis,avenue jean-jacques segard 406 tilloy lez cambrai,H Trucks Park - (Secure Truckstop),Avenue Jean-Jacques Segard 406,Tilloy lez Cambrai,FR,3.20423285,50.20130975,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5234&locale=en,12h: 23.00€    24h: 26.50€    48h: 50.00€    9h: 19.50€    72h: 72.00€    ,12h: 23.00€    24h: 26.50€    48h: 50.00€    9h: 19.50€    72h: 72.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=2069,"1004, 1007, 1011, 1101, 1017, 1012, 1302, 1020, 1013, 1005, 1014, 1016"
Travis Extern FR,3466,Certas Energy France - Truck Parking St Geours,Certas Energy France - Truck Parking St Geours,604.0,Sneltransport Pater Ede B.V.,29BKB5,B2B,,3466.0,Certas Energy France - Truck Parking St Geours,Rte de Balenton,Saint-Geours-de-Maremne,40230,FR,Travis,rte de balenton saint-geours-de-maremne,Certas Energy France - Truck Parking St Geours,Rte de Balenton ,Saint-Geours-de-Maremne,FR,-1.2300188,43.71216574,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5504&locale=en,1h: 2.50€    12h: 22.33€    24h: 26.67€    48h: 40.00€    72h: 58.33€    ,1h: 2.50€    12h: 22.33€    24h: 26.67€    48h: 40.00€    72h: 58.33€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3465,"1007, 1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014, 1003"
Travis Extern FR,2836,Trucks Park - Oversize Transport,Trucks Park - Oversize Transport,10202.0,KRYSTIAN HENZEL ,PZ771WL,B2B,,2836.0,Trucks Park - Oversize Transport,"Parc Actival, Mnt de Bel Air ",Saint Didier sur Chalaronne,01140,FR,Travis,"parc actival, mnt de bel air saint didier sur chalaronne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Extern FR,3658,Perrenot Lorraine Gondreville - (Depot Parking),Perrenot Lorraine Gondreville - (Depot Parking),3622.0,"Anpet EU, s.r.o. ",AA572BI,B2B,,3658.0,Perrenot Lorraine Gondreville - (Depot Parking),5 Rue de l'Europe,Gondreville,54840,FR,Travis,5 rue de l'europe gondreville,Perrenot Lorraine Gondreville - (Depot Parking),5 Rue de l'Europe ,Gondreville,FR,5.98402629,48.69949116,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,https://portal.bosch-secure-truck-parking.com/?detail=1&id=5572&locale=en,12h: 21.00€    24h: 23.00€    48h: 44.00€    72h: 64.00€    ,12h: 21.00€    24h: 23.00€    48h: 44.00€    72h: 64.00€    ,yes,no,Travis,https://portal.bosch-secure-truck-parking.com/iPCP/admin/bstpBookingAdmin?pu=3657,"1011, 1101, 1017, 1012, 1302, 1020, 1005, 1014"
