parkplatz_id,latitude,longitude,nearest_station_id,nearest_station_dist_km,station_id,road_class,road_number,road_suffix,station_lat,station_lon
DE-BY-000122,48.639446,13.294809,9628,4.924825739246983,9628,A,3,,48.67309516472979,13.251213383853676
DE-BB-274902,53.211235,13.957315,1607,24.719184377679447,1607,A,11,,53.317399977028884,14.283863140635448
DE-BY-000329,48.40075,10.986956,9961,0.6573444528591981,9961,A,8,,48.40161311720331,10.978147159633057
DE-NW-000318,51.125004,6.796873,5061,0.6805255290043025,5061,A,57,,51.13004717247447,6.791348224494668
DE-BY-000292,49.755985,11.060224,9585,1.2117168360631414,9585,A,73,,49.76514484151404,11.051085832363462
DE-NI-362202,52.345917,9.422876,3376,2.11373357480355,3376,B,65,,52.33064423554653,9.44139953956403
DE-BB-294104,52.992027,12.609183,3613,0.7851685243974658,3613,A,24,,52.98644625350798,12.61636970609646
DE-NW-007344,52.211002,8.93401,5123,5.0947706234103,5123,A,2,,52.21056627230977,8.85923951013205
DE-NI-262501,53.37792,9.9515,3444,0.9738560504582914,3444,A,1,,53.37916596067605,9.966032497404068
DE-BY-000437,49.171955,12.116469,9049,15.184455350181459,9049,A,93,,49.03669375895078,12.087803907286292
DE-BY-000278,50.033066,11.47206,9053,8.792367043512789,9053,A,70,,50.02697142302262,11.594784203757397
DE-BW-004466,48.552948,9.63229,8078,9.40728358080957,8078,A,8,,48.62842846309952,9.574518977982436
DE-MV-200001,53.816067,10.878478,1702,7.075850378491214,1702,B,104,,53.879379809917154,10.86764445277084
DE-BY-000110,48.86015,12.85768,9093,6.776265334142665,9093,A,3,,48.821914168390244,12.929779876797092
DE-BB-354802,52.455933,13.799335,3602,3.4870332769959838,3602,A,10,,52.42549041539746,13.786985249722246
DE-MV-001321,53.600903,12.36833,1606,15.611703852488592,1606,A,19,,53.46077816532446,12.38309060297132
DE-BW-081145,48.142178,8.56989,8032,2.051940777700799,8032,A,81,,48.1605303599669,8.572782227538628
DE-BW-081635,48.141747,8.571702,8032,2.0901540399208898,8032,A,81,,48.1605303599669,8.572782227538628
DE-NI-412601,51.85606,10.126013,3409,2.8365000597388397,3409,B,243,,51.85324720985087,10.167061041685047
DE-SN-000028,51.062675,13.571171,4118,3.1417324201436254,4118,A,17,,51.046311491120214,13.607814493799355
DE-BW-005530,49.257454,8.603405,8018,1.654959322506593,8018,A,5,,49.270770918837314,8.61358993802834
DE-BY-000152,49.3061,10.7808,9525,2.368117603992895,9525,A,6,,49.29950975952949,10.749742103575928
DE-BY-000161,49.40785,11.3177,9054,0.5274088145595617,9054,A,6,,49.408149577041506,11.324975020783198
DE-NW-000087,51.55719,7.029778,5147,3.208080402132642,5147,A,2,,51.564217380481814,7.074787901245961
